work_title,sentence,sentence_length
வெளிநாட்டு_விடுகதைகள்,வெளிநாட்டு விடுகதைகள் குழந்தைக் கவிஞர் அழ.,5
வெளிநாட்டு_விடுகதைகள்,வெளிநாட்டு விடுகதைகள் தொகுத்தவர் குழந்தைக் கவிஞர் வள்ளியப்பா விற்பனை உரிமை !,8
வெளிநாட்டு_விடுகதைகள்,பாரி நிலையம் பிராட்வே சென்னை,4
வெளிநாட்டு_விடுகதைகள்,ஒரு நாள் நூல் நிலையத்திலே ஒரு விடுகதைப் புத்தகத்தைப் பார்த்தேன்.,8
வெளிநாட்டு_விடுகதைகள்,அது ஓர் ஆங்கிலப் புத்தகம்.,4
வெளிநாட்டு_விடுகதைகள்,"பல நாட்டு விடுகதைகள் என்று அதற்குப் பெயர், அதை ஆவலாக எடுத்தேன் புரட்டிப் பார்த்தேன்.",11
வெளிநாட்டு_விடுகதைகள்,சுமார் தொன்னூறு நாடுகளில் வழங்கிவருகின்ற எண்ணூறு  விடுகதைகள் அதில் இருந்தன.,8
வெளிநாட்டு_விடுகதைகள்,உடனே எனக்கு ஒரு யோசனை தோன்றியது.,5
வெளிநாட்டு_விடுகதைகள்,"நம் வீட்டுக் குழந்தைகள் அடிக்கடி நம்மிடம் விடுகதை போட்டு நம்மை விழிக்கவைக்கிறார்களே, அவர்களைச் சும்மா விடக்கூடாது.",12
வெளிநாட்டு_விடுகதைகள்,அவர்களை மடக்குவதற்கு இது சரியான புத்தகம் என்று தீர்மானித்தேன்.,7
வெளிநாட்டு_விடுகதைகள்,"உடனே, நான் அந்தப் புத்தகத்தை நூல் நிலையத்திலிருந்து எடுத்துக் கொண்டு வீடு நோக்கி வந்தேன்.",11
வெளிநாட்டு_விடுகதைகள்,வரும்போதே சில விடுகதைகளைத் தமிழ்ப்படுத்திப் பார்த்தேன்.,5
வெளிநாட்டு_விடுகதைகள்,"வீட்டுக்கு வந்ததும் குழந்தைகளைச் சுற்றி உட்கார வைத்துக்கொண்டு, ஒவ்வொரு விடுகதையாகப் போட்டேன், சில விடுகதைகளை அவர்கள் எளிதிலே விடுவித்தார்கள்.",14
வெளிநாட்டு_விடுகதைகள்,சில அவ்வளவு சுலபமாயில்லை.,3
வெளிநாட்டு_விடுகதைகள்,"சில விடுகதைகளைக் கேட்டதும், ப்பூ, இதுபோல் நம் நாட்டில் கூட இருக்கிறதே !",9
வெளிநாட்டு_விடுகதைகள்,"ஆனாலும், மொத்தத்தில் அந்த விடுகதைகளை அவர்கள் மிகவும் ரசித்தார்கள்.",7
